fermented_food	run_accession
sourdough	SRR9701327
sourdough	SRR9701328
sourdough	SRR29538198
sourdough	SRR29538182
sourdough	SRR29538186
sourdough	SRR29538184
sourdough	SRR29538183
sourdough	SRR29538181
sourdough	SRR29538180
sourdough	SRR29538179
sourdough	SRR29538178
sourdough	SRR29538196
sourdough	SRR29538195
sourdough	SRR29538194
sourdough	SRR29538193
sourdough	SRR29538192
sourdough	SRR29538191
sourdough	SRR29538190
sourdough	SRR29538189
sourdough	SRR29538188
sourdough	SRR29538187
sourdough	SRR29538185
sourdough	SRR10454486
sourdough	SRR10454491
sourdough	SRR10454494
sourdough	SRR10454509
sourdough	SRR10454511
sourdough	SRR10454513
sourdough	SRR10454516
sourdough	SRR10454517
injera	SRR14018897
injera	SRR14018896
beer	ERR2756686
beer	ERR2756687
beer	ERR2756682
beer	ERR2756684
beer	ERR2756683
beer	ERR2756685
beer	SRR5890763
sourdough	SRR10454520
sourdough	SRR10454503
sourdough	SRR10454502
sourdough	SRR10454501
sourdough	SRR10454500
sourdough	SRR10454499
sourdough	SRR10454498
sourdough	SRR10454496
sourdough	SRR10454487
sourdough	SRR10454518
sourdough	SRR10454495
sourdough	SRR10454515
sourdough	SRR10454514
sourdough	SRR10454507
sourdough	SRR10454506
sourdough	SRR10454505
sourdough	SRR10454504
sourdough	SRR10454493
sourdough	SRR10454492
sourdough	SRR10454490
sourdough	SRR10454485
sourdough	SRR10454484
sourdough	SRR10454483
sourdough	SRR10454489
sourdough	SRR10454488
sourdough	SRR10454519
sourdough	SRR10454482
sourdough	SRR10454481
sourdough	SRR10454512
sourdough	SRR10454508
sourdough	SRR10454510
sourdough	SRR10454497
boza	ERR4757807
amazake	ERR4757821
kunu	SRR27593207
ogi	SRR27593238
pito	SRR27593234
kunu	SRR27593231
zonkom	SRR27593224
pito	SRR27593222
zonkom	SRR27593221
brukina	SRR27593220
burukutu	SRR27593219
pito	SRR27593217
kunu	SRR27593216
ogi	SRR27593212
burukutu	SRR27593209
ogi	SRR27593202
fura	SRR27593199
ogi	SRR27593198
ogi	SRR27593187
ogi	SRR27593186
koko	SRR27593184
burukutu	SRR27593175
ugi	SRR27593168
ugi	SRR27593167
ugi	SRR27593165
massa	SRR27593163
kunu	SRR27593155
ogi	SRR27593154
ogi	SRR27593153
kunu	SRR27593182
kunu	SRR27593178
pozol	SRR13708565
pozol	SRR13708566
pozol	SRR13708567
